name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Pecora Escarpment 91448,18739,Valid,LL6,92.7,Found,1991.0,-85.65807,-68.17227,"(-85.65807, -68.17227)"
Ramlat al Wahibah 040,45911,Valid,H4/5,78.36,Found,2006.0,21.37107,58.41415,"(21.37107, 58.41415)"
El Médano 037,54505,Valid,L6,111.0,Found,2010.0,-24.85,-70.53333,"(-24.85, -70.53333)"
Lewis Cliff 86317,13249,Valid,L6,62.4,Found,1986.0,-84.27639,161.34562,"(-84.27639, 161.34562)"
Miller Range 090340,53451,Valid,Achondrite-ung,4.7,Found,2009.0,0.0,0.0,"(0.0, 0.0)"
Dhofar 921,7624,Valid,L6,144.0,Found,2003.0,18.625,54.43,"(18.625, 54.43)"
Elephant Moraine 83314,7953,Valid,L6,23.7,Found,1983.0,-76.31028,157.1975,"(-76.31028, 157.1975)"
Pecora Escarpment 91132,18423,Valid,L6,215.0,Found,1991.0,-85.68404,-68.87777,"(-85.68404, -68.87777)"
Yamato 983789,40411,Valid,H4,4.93,Found,1998.0,0.0,0.0,"(0.0, 0.0)"
Botetourt County,5116,Valid,Iron,500.0,Found,1850.0,37.5,-79.75,"(37.5, -79.75)"
Tiffa 008,31349,Valid,CO3,1149.0,Found,2001.0,20.35833,11.85,"(20.35833, 11.85)"
Yamato 983439,40061,Valid,H4,4.1,Found,1998.0,0.0,0.0,"(0.0, 0.0)"
Miller Range 090185,53370,Valid,L6,2.4,Found,2009.0,0.0,0.0,"(0.0, 0.0)"
Dominion Range 10499,56878,Valid,LL6,34.3,Found,2010.0,0.0,0.0,"(0.0, 0.0)"
Miller Range 090995,52371,Valid,Diogenite,9.8,Found,2009.0,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 5432,49149,Valid,H5/6,580.0,Found,2004.0,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 492,17752,Valid,Ureilite,23.0,Found,2000.0,,,
Grove Mountains 023899,50201,Valid,L5,0.46,Found,2003.0,-72.9822,75.2489,"(-72.9822, 75.2489)"
Yamato 980580,37203,Valid,H4,14.633,Found,1998.0,,,
Miller Range 090167,53357,Valid,L6,3.4,Found,2009.0,0.0,0.0,"(0.0, 0.0)"
Dar al Gani 924,6465,Valid,L6,54.0,Found,2000.0,27.03333,16.35,"(27.03333, 16.35)"
Yamato 793249,28598,Valid,LL4,292.26,Found,1979.0,-71.5,35.66667,"(-71.5, 35.66667)"
Queen Alexandra Range 94565,20197,Valid,H6,1.3,Found,1994.0,-84.0,168.0,"(-84.0, 168.0)"
Queen Alexandra Range 97185,20643,Valid,LL5,37.8,Found,1997.0,-84.0,168.0,"(-84.0, 168.0)"
Meteorite Hills 00493,15728,Valid,L5,38.99,Found,2000.0,-79.68333,155.75,"(-79.68333, 155.75)"
Elephant Moraine 87689,8239,Valid,H5,58.6,Found,1987.0,-76.18333,157.16667,"(-76.18333, 157.16667)"
Northwest Africa 3340,33664,Valid,CM2-an,12.7,Found,2006.0,,,
Grove Mountains 022248,49964,Valid,L6,4.22,Found,2003.0,-72.77889,75.31111,"(-72.77889, 75.31111)"
Queen Alexandra Range 97410,20867,Valid,LL5,25.6,Found,1997.0,-84.0,168.0,"(-84.0, 168.0)"
Miller Range 03423,36459,Valid,LL5,45.4,Found,2003.0,,,
Queen Alexandra Range 93695,19782,Valid,L5,4.9,Found,1993.0,-84.0,168.0,"(-84.0, 168.0)"
Elephant Moraine 90796,9205,Valid,L6,39.7,Found,1990.0,-76.2858,156.46845,"(-76.2858, 156.46845)"
Elephant Moraine 90042,8452,Valid,CK5,14.2,Found,1990.0,-76.27972,156.47219,"(-76.27972, 156.47219)"
Grove Mountains 052116,46469,Valid,L6,336.0,Found,2006.0,-72.77472,75.32361,"(-72.77472, 75.32361)"
Mount Prestrud 95406,16792,Valid,L6,72.4,Found,1995.0,-86.56667,-165.11667,"(-86.56667, -165.11667)"
Miller Range 090860,55162,Valid,L6,130.3,Found,2009.0,0.0,0.0,"(0.0, 0.0)"
Elephant Moraine 96043,9637,Valid,H5,392.9,Found,1996.0,-76.18333,157.16667,"(-76.18333, 157.16667)"
Northwest Africa 2132,32893,Valid,Howardite,1006.0,Found,2003.0,,,
Yamato 792755,28104,Valid,H5,8.14,Found,1979.0,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 86291,29797,Valid,H4,10.86,Found,1986.0,-71.5,35.66667,"(-71.5, 35.66667)"
Aswan,4882,Valid,"Iron, IAB-ung",12000.0,Found,1955.0,23.98611,32.62361,"(23.98611, 32.62361)"
Allan Hills 84201,803,Valid,H5,6.3,Found,1984.0,-76.7574,158.90775,"(-76.7574, 158.90775)"
Dhofar 1148,33851,Valid,L4,426.0,Found,2005.0,19.190417,54.957194,"(19.190417, 54.957194)"
Miller Range 090155,53346,Valid,L6,48.1,Found,2009.0,0.0,0.0,"(0.0, 0.0)"
Northwest Africa 7488,56311,Valid,Eucrite,259.0,Found,2012.0,0.0,0.0,"(0.0, 0.0)"
Asuka 880754,3463,Valid,H5,10.36,Found,1988.0,-72.0,26.0,"(-72.0, 26.0)"
Yamato 790957,26306,Valid,L5/6,6175.0,Found,1979.0,-71.5,35.66667,"(-71.5, 35.66667)"
Grove Mountains 054615,48526,Valid,L6,1.33,Found,2006.0,-72.998889,75.187222,"(-72.998889, 75.187222)"
Grove Mountains 052175,46476,Valid,L6,4.37,Found,2006.0,-72.77306,75.33806,"(-72.77306, 75.33806)"
Sayh al Uhaymir 213,23386,Valid,H4,187.5,Found,2002.0,20.41437,57.06578,"(20.41437, 57.06578)"
Northwest Africa 4492,44790,Valid,L4,27000.0,Found,2005.0,,,
Waconda,24195,Valid,L6,50000.0,Found,1873.0,39.33333,-98.16667,"(39.33333, -98.16667)"
Northwest Africa 5574,49273,Valid,Ureilite,20.0,Found,2007.0,0.0,0.0,"(0.0, 0.0)"
Lewis Cliff 88570,14310,Valid,H6,9.5,Found,1988.0,-84.24623,161.41018,"(-84.24623, 161.41018)"
Dhofar 594,7351,Valid,H3-6,1806.0,Found,2001.0,18.7247,54.39503,"(18.7247, 54.39503)"
Laundry Rockhole,12738,Valid,H5,1443.0,Found,1967.0,-31.53333,127.01667,"(-31.53333, 127.01667)"
Yamato 86608,30114,Valid,H4,1.22,Found,1986.0,-71.5,35.66667,"(-71.5, 35.66667)"
Northwest Africa 1879,17512,Valid,Mesosiderite-C,1624.0,Found,2003.0,,,
Yamato 791117,26466,Valid,LL5/6,14.03,Found,1979.0,-71.5,35.66667,"(-71.5, 35.66667)"
Wellman (c),24239,Valid,H4,45000.0,Found,1964.0,33.03333,-102.33333,"(33.03333, -102.33333)"
Yamato 982246,38868,Valid,L6,5.86,Found,1998.0,0.0,0.0,"(0.0, 0.0)"
Larkman Nunatak 06459,48763,Valid,H6,87.7,Found,2006.0,,,
Stonington,23727,Valid,H5,2700.0,Found,1942.0,37.28333,-102.2,"(37.28333, -102.2)"
Lewis Cliff 88194,13947,Valid,L5,20.5,Found,1988.0,-84.27985,161.34894,"(-84.27985, 161.34894)"
Ramlat as Sahmah 334,55430,Valid,L6,80.48,Found,2010.0,20.7827,55.42668,"(20.7827, 55.42668)"
Grove Mountains 053824,50586,Valid,H4 ,6.45,Found,2006.0,-72.77944,75.27,"(-72.77944, 75.27)"
Dhofar 1550,52422,Valid,H4,624.0,Found,2008.0,18.59083,54.543,"(18.59083, 54.543)"
Meteorite Hills 01326,16558,Valid,L5,10.9,Found,2001.0,-79.68333,159.75,"(-79.68333, 159.75)"
Allan Hills 84132,734,Valid,L6,157.8,Found,1984.0,-77.01706,156.96282,"(-77.01706, 156.96282)"
Northwest Africa 3051,31182,Valid,L5/6,1788.0,Found,2003.0,,,
Queen Alexandra Range 93394,19482,Valid,H6,2.5,Found,1993.0,-84.0,168.0,"(-84.0, 168.0)"
Jiddat al Harasis 276,35593,Valid,H4/6,1798.9,Found,2005.0,19.97933,55.95507,"(19.97933, 55.95507)"
Northwest Africa 2618,31117,Valid,L6,152.0,Found,2004.0,,,
Wooramel,24335,Valid,L5,71000.0,Found,1969.0,-25.65,114.21667,"(-25.65, 114.21667)"
Bluewing 031,51575,Valid,H5,170.0,Found,1999.0,40.26667,-118.93333,"(40.26667, -118.93333)"
Yamato 86011,29517,Valid,H5,9.13,Found,1986.0,-71.5,35.66667,"(-71.5, 35.66667)"
Queen Alexandra Range 94454,20086,Valid,L6,5.0,Found,1994.0,-84.0,168.0,"(-84.0, 168.0)"
Miller Range 090893,54416,Valid,LL6,4.2,Found,2009.0,0.0,0.0,"(0.0, 0.0)"
